[
  <<|java+class:///org/apache/cayenne/modeler/action/ValidateAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getCurrentProject()|,|java+method:///org/apache/cayenne/modeler/action/ValidateAction/performAction(java.awt.event.ActionEvent)|>>,
  <<|java+class:///org/apache/cayenne/ejbql/parser/EJBQLLike|,|java+class:///org/apache/cayenne/ejbql/parser/SimpleNode|>,220,<|java+method:///org/apache/cayenne/ejbql/parser/SimpleNode/visitChild(org.apache.cayenne.ejbql.EJBQLExpressionVisitor,int)|,|java+method:///org/apache/cayenne/ejbql/parser/EJBQLLike/visitChild(org.apache.cayenne.ejbql.EJBQLExpressionVisitor,int)|>>,
  <<|java+class:///org/apache/cayenne/modeler/dialog/validator/QueryErrorMsg|,|java+class:///org/apache/cayenne/modeler/dialog/validator/ValidationDisplayHandler|>,220,<|java+field:///org/apache/cayenne/modeler/dialog/validator/ValidationDisplayHandler/validationInfo|,|java+method:///org/apache/cayenne/modeler/dialog/validator/QueryErrorMsg/displayField(org.apache.cayenne.modeler.ProjectController,javax.swing.JFrame)|>>,
  <<|java+class:///org/apache/cayenne/map/EjbqlBuilder|,|java+class:///org/apache/cayenne/map/QueryLoader|>,220,<|java+field:///org/apache/cayenne/map/QueryLoader/properties|,|java+method:///org/apache/cayenne/map/EjbqlBuilder/getQuery()|>>,
  <<|java+class:///org/apache/cayenne/map/EjbqlBuilder|,|java+class:///org/apache/cayenne/map/QueryLoader|>,220,<|java+field:///org/apache/cayenne/map/QueryLoader/ejbql|,|java+method:///org/apache/cayenne/map/EjbqlBuilder/getQuery()|>>,
  <<|java+class:///org/apache/cayenne/map/EjbqlBuilder|,|java+class:///org/apache/cayenne/map/QueryLoader|>,220,<|java+field:///org/apache/cayenne/map/QueryLoader/name|,|java+method:///org/apache/cayenne/map/EjbqlBuilder/getQuery()|>>,
  <<|java+class:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel|,|java+class:///org/apache/cayenne/modeler/util/CayenneTableModel|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneTableModel/objectList|,|java+method:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel/getRelationship(int)|>>,
  <<|java+class:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel|,|java+class:///org/apache/cayenne/modeler/util/CayenneTableModel|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneTableModel/eventSource|,|java+method:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel/setUpdatedValueAt(java.lang.Object,int,int)|>>,
  <<|java+class:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel|,|java+class:///org/apache/cayenne/modeler/util/CayenneTableModel|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneTableModel/mediator|,|java+method:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel/setUpdatedValueAt(java.lang.Object,int,int)|>>,
  <<|java+class:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel|,|java+class:///org/apache/cayenne/modeler/util/CayenneTableModel|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneTableModel/objectList|,|java+method:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel/removeRelationship(org.apache.cayenne.map.Relationship)|>>,
  <<|java+class:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel|,|java+class:///org/apache/cayenne/modeler/util/CayenneTableModel|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneTableModel/mediator|,|java+method:///org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel/updateDependentObjRelationships(org.apache.cayenne.map.DbRelationship)|>>,
  <<|java+class:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel|,|java+class:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel|>,220,<|java+field:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel/selectOutputFolder|,|java+constructor:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel/CustomModePanel()|>>,
  <<|java+class:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel|,|java+class:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel|>,220,<|java+field:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel/outputFolder|,|java+constructor:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel/CustomModePanel()|>>,
  <<|java+class:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel|,|java+class:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel|>,220,<|java+field:///org/apache/cayenne/modeler/dialog/codegen/GeneratorControllerPanel/superclassPackage|,|java+constructor:///org/apache/cayenne/modeler/dialog/codegen/CustomModePanel/CustomModePanel()|>>,
  <<|java+class:///org/apache/cayenne/access/DataDomainUpdateBucket|,|java+class:///org/apache/cayenne/access/DataDomainSyncBucket|>,220,<|java+field:///org/apache/cayenne/access/DataDomainSyncBucket/descriptorsByDbEntity|,|java+method:///org/apache/cayenne/access/DataDomainUpdateBucket/appendQueriesInternal(java.util.Collection)|>>,
  <<|java+class:///org/apache/cayenne/access/DataDomainUpdateBucket|,|java+class:///org/apache/cayenne/access/DataDomainSyncBucket|>,220,<|java+field:///org/apache/cayenne/access/DataDomainSyncBucket/parent|,|java+method:///org/apache/cayenne/access/DataDomainUpdateBucket/appendQueriesInternal(java.util.Collection)|>>,
  <<|java+class:///org/apache/cayenne/access/DataDomainUpdateBucket|,|java+class:///org/apache/cayenne/access/DataDomainSyncBucket|>,220,<|java+method:///org/apache/cayenne/access/DataDomainSyncBucket/checkReadOnly(org.apache.cayenne.map.ObjEntity)|,|java+method:///org/apache/cayenne/access/DataDomainUpdateBucket/appendQueriesInternal(java.util.Collection)|>>,
  <<|java+class:///org/apache/cayenne/access/DataDomainUpdateBucket|,|java+class:///org/apache/cayenne/access/DataDomainSyncBucket|>,220,<|java+field:///org/apache/cayenne/access/DataDomainSyncBucket/dbEntities|,|java+method:///org/apache/cayenne/access/DataDomainUpdateBucket/appendQueriesInternal(java.util.Collection)|>>,
  <<|java+class:///org/apache/cayenne/access/DataDomainUpdateBucket|,|java+class:///org/apache/cayenne/access/DataDomainSyncBucket|>,220,<|java+field:///org/apache/cayenne/access/DataDomainSyncBucket/objectsByDescriptor|,|java+method:///org/apache/cayenne/access/DataDomainUpdateBucket/appendQueriesInternal(java.util.Collection)|>>,
  <<|java+class:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery|,|java+class:///org/apache/cayenne/jpa/map/JpaNamedQuery|>,220,<|java+field:///org/apache/cayenne/jpa/map/JpaNamedQuery/name|,|java+constructor:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery/JpaNamedNativeQuery(javax.persistence.NamedNativeQuery)|>>,
  <<|java+class:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery|,|java+class:///org/apache/cayenne/jpa/map/JpaNamedQuery|>,220,<|java+method:///org/apache/cayenne/jpa/map/JpaNamedQuery/getHints()|,|java+constructor:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery/JpaNamedNativeQuery(javax.persistence.NamedNativeQuery)|>>,
  <<|java+class:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery|,|java+class:///org/apache/cayenne/jpa/map/JpaNamedQuery|>,220,<|java+field:///org/apache/cayenne/jpa/map/JpaNamedQuery/query|,|java+constructor:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery/JpaNamedNativeQuery(javax.persistence.NamedNativeQuery)|>>,
  <<|java+class:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery|,|java+class:///org/apache/cayenne/jpa/map/JpaNamedQuery|>,220,<|java+field:///org/apache/cayenne/jpa/map/JpaNamedQuery/hints|,|java+constructor:///org/apache/cayenne/jpa/map/JpaNamedNativeQuery/JpaNamedNativeQuery(javax.persistence.NamedNativeQuery)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setUserName(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getUrl()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getDbAdapter()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setPassword(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getJdbcDriver()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setJdbcDriver(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setUrl(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getUserName()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getDomainPreferenceId()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/getPassword()|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setDbAdapter(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/modeler/pref/_DBConnectionInfo|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/modeler/pref/_DBConnectionInfo/setDomainPreferenceId(java.lang.Integer)|>>,
  <<|java+class:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity/getName()|>>,
  <<|java+class:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity/setName(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity/setTimeLock(java.util.Date)|>>,
  <<|java+class:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/locking/auto/_TimeLockingTestEntity/getTimeLock()|>>,
  <<|java+class:///org/apache/cayenne/access/FlattenedRelationshipInContextTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/access/FlattenedRelationshipInContextTest/testIsToOneTargetModifiedFlattenedFault1()|>>,
  <<|java+class:///org/apache/cayenne/access/FlattenedRelationshipInContextTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/deleteTestData()|,|java+method:///org/apache/cayenne/access/FlattenedRelationshipInContextTest/testIsToOneTargetModifiedFlattenedFault1()|>>,
  <<|java+class:///org/apache/cayenne/access/FlattenedRelationshipInContextTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getAccessStack()|,|java+method:///org/apache/cayenne/access/FlattenedRelationshipInContextTest/testIsToOneTargetModifiedFlattenedFault1()|>>,
  <<|java+class:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest|,|java+class:///org/apache/cayenne/project/validator/ValidatorTestBase|>,220,<|java+field:///org/apache/cayenne/project/validator/ValidatorTestBase/project|,|java+method:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest/testValidateObjAttributes()|>>,
  <<|java+class:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest|,|java+class:///org/apache/cayenne/project/validator/ValidatorTestBase|>,220,<|java+method:///org/apache/cayenne/project/validator/ValidatorTestBase/buildValidObjAttribute(org.apache.cayenne.map.DataMap,java.lang.String)|,|java+method:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest/testValidateObjAttributes()|>>,
  <<|java+class:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest|,|java+class:///org/apache/cayenne/project/validator/ValidatorTestBase|>,220,<|java+method:///org/apache/cayenne/project/validator/ValidatorTestBase/assertValidator(int)|,|java+method:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest/testValidateObjAttributes()|>>,
  <<|java+class:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest|,|java+class:///org/apache/cayenne/project/validator/ValidatorTestBase|>,220,<|java+field:///org/apache/cayenne/project/validator/ValidatorTestBase/validator|,|java+method:///org/apache/cayenne/project/validator/ObjAttributeValidatorTest/testValidateObjAttributes()|>>,
  <<|java+class:///org/apache/cayenne/ejbql/parser/EJBQLGreaterOrEqual|,|java+class:///org/apache/cayenne/ejbql/parser/SimpleNode|>,220,<|java+method:///org/apache/cayenne/ejbql/parser/SimpleNode/visitChild(org.apache.cayenne.ejbql.EJBQLExpressionVisitor,int)|,|java+method:///org/apache/cayenne/ejbql/parser/EJBQLGreaterOrEqual/visitChild(org.apache.cayenne.ejbql.EJBQLExpressionVisitor,int)|>>,
  <<|java+class:///org/apache/art/auto/_BinaryPKTest1|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/removeToManyTarget(java.lang.String,org.apache.cayenne.DataObject,boolean)|,|java+method:///org/apache/art/auto/_BinaryPKTest1/removeFromBinaryPKDetails(org.apache.art.BinaryPKTest2)|>>,
  <<|java+class:///org/apache/art/auto/_BinaryPKTest1|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/art/auto/_BinaryPKTest1/getName()|>>,
  <<|java+class:///org/apache/art/auto/_BinaryPKTest1|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/addToManyTarget(java.lang.String,org.apache.cayenne.DataObject,boolean)|,|java+method:///org/apache/art/auto/_BinaryPKTest1/addToBinaryPKDetails(org.apache.art.BinaryPKTest2)|>>,
  <<|java+class:///org/apache/art/auto/_BinaryPKTest1|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/art/auto/_BinaryPKTest1/setName(java.lang.String)|>>,
  <<|java+class:///org/apache/art/auto/_BinaryPKTest1|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/art/auto/_BinaryPKTest1/getBinaryPKDetails()|>>,
  <<|java+class:///org/apache/cayenne/jpa/map/JpaRelationship|,|java+class:///org/apache/cayenne/jpa/map/JpaAttribute|>,220,<|java+field:///org/apache/cayenne/jpa/map/JpaAttribute/name|,|java+method:///org/apache/cayenne/jpa/map/JpaRelationship/toString()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest/testOrdering()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/deleteTestData()|,|java+method:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest/testOrdering()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createTestData(java.lang.String)|,|java+method:///org/apache/cayenne/query/SelectQueryFetchLimitOrderingTest/testOrdering()|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/getRoot2()|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/getRoot()|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/setToOneTarget(java.lang.String,org.apache.cayenne.DataObject,boolean)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/setRoot(org.apache.cayenne.testdo.relationship.ToManyFkRoot)|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/setDepId(java.lang.Integer)|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/getName()|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/setToOneTarget(java.lang.String,org.apache.cayenne.DataObject,boolean)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/setRoot2(org.apache.cayenne.testdo.relationship.ToManyRoot2)|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/setName(java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/cayenne/testdo/relationship/auto/_ToManyFkDep/getDepId()|>>,
  <<|java+class:///org/apache/cayenne/reflect/valueholder/ValueHolderListProperty|,|java+class:///org/apache/cayenne/reflect/BaseProperty|>,220,<|java+method:///org/apache/cayenne/reflect/BaseProperty/getName()|,|java+method:///org/apache/cayenne/reflect/valueholder/ValueHolderListProperty/createCollectionValueHolder(java.lang.Object)|>>,
  <<|java+class:///org/apache/cayenne/query/NamedQuery|,|java+class:///org/apache/cayenne/query/IndirectQuery|>,220,<|java+field:///org/apache/cayenne/query/IndirectQuery/name|,|java+method:///org/apache/cayenne/query/NamedQuery/hashCode()|>>,
  <<|java+class:///org/apache/cayenne/query/NamedQuery|,|java+class:///org/apache/cayenne/query/IndirectQuery|>,220,<|java+field:///org/apache/cayenne/query/IndirectQuery/name|,|java+constructor:///org/apache/cayenne/query/NamedQuery/NamedQuery(java.lang.String,java.lang.String%5B%5D,java.lang.Object%5B%5D)|>>,
  <<|java+class:///org/apache/cayenne/query/NamedQuery|,|java+class:///org/apache/cayenne/query/IndirectQuery|>,220,<|java+method:///org/apache/cayenne/query/IndirectQuery/getMetaData(org.apache.cayenne.map.EntityResolver)|,|java+method:///org/apache/cayenne/query/NamedQuery/getMetaData(org.apache.cayenne.map.EntityResolver)|>>,
