[
  <<|java+class:///net/suberic/pooka/resource/FileResourceManager|,|java+class:///net/suberic/pooka/resource/ResourceManager|>,220,<|java+method:///net/suberic/pooka/resource/ResourceManager/translateName(java.lang.String)|,|java+method:///net/suberic/pooka/resource/FileResourceManager/translateName(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/createInputButton()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/firePropertyCommittingEvent(java.lang.String)|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/validateProperty()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/validateProperty()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/validateProperty()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/createFileSystemView()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/createFileSystemView()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/createFileSystemView()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/LabelValuePropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/LabelValuePropertyEditor/labelComponent|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/configureBasic(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/LabelValuePropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/LabelValuePropertyEditor/valueComponent|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/LabelValuePropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/LabelValuePropertyEditor/createLabel()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/originalValue|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/originalValue|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/isChanged()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/selectNewFolder()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/updateEditorEnabled()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/updateEditorEnabled()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/setValue()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/setValue()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/setValue()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/setValue()|>>,
  <<|java+class:///net/suberic/util/cache/MemorySizedCache|,|java+class:///net/suberic/util/cache/AbstractSizedCache|>,220,<|java+method:///net/suberic/util/cache/AbstractSizedCache/setMaxEntrySize(long)|,|java+constructor:///net/suberic/util/cache/MemorySizedCache/MemorySizedCache(net.suberic.util.cache.SizedCacheEntryFactory,long,long)|>>,
  <<|java+class:///net/suberic/util/cache/MemorySizedCache|,|java+class:///net/suberic/util/cache/AbstractSizedCache|>,220,<|java+method:///net/suberic/util/cache/AbstractSizedCache/setMaxSize(long)|,|java+constructor:///net/suberic/util/cache/MemorySizedCache/MemorySizedCache(net.suberic.util.cache.SizedCacheEntryFactory,long,long)|>>,
  <<|java+class:///net/suberic/util/cache/MemorySizedCache|,|java+class:///net/suberic/util/cache/AbstractSizedCache|>,220,<|java+method:///net/suberic/util/cache/AbstractSizedCache/setFactory(net.suberic.util.cache.SizedCacheEntryFactory)|,|java+constructor:///net/suberic/util/cache/MemorySizedCache/MemorySizedCache(net.suberic.util.cache.SizedCacheEntryFactory,long,long)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/editors|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/propertyBase|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/layoutGrid(java.awt.Container,java.awt.Component%5B%5D,java.awt.Component%5B%5D,int,int,int,int,boolean)|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/addEditors(java.util.List,java.util.List)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/configureBasic(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/createSubProperty(java.lang.String)|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/CompositeEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/createSubTemplate(java.lang.String)|,|java+method:///net/suberic/util/gui/propedit/CompositeEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+method:///net/suberic/pooka/gui/SwingUIFactory/showError(java.lang.String,java.lang.String,java.lang.Exception)|,|java+method:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/showError(java.lang.String,java.lang.Exception)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+field:///net/suberic/pooka/gui/SwingUIFactory/mMessageNotificationManager|,|java+constructor:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/PookaDesktopPaneUIFactory(net.suberic.pooka.gui.PookaUIFactory)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+field:///net/suberic/pooka/gui/SwingUIFactory/mIconManager|,|java+constructor:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/PookaDesktopPaneUIFactory(net.suberic.pooka.gui.PookaUIFactory)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+field:///net/suberic/pooka/gui/SwingUIFactory/pookaThemeManager|,|java+constructor:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/PookaDesktopPaneUIFactory(net.suberic.pooka.gui.PookaUIFactory)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+field:///net/suberic/pooka/gui/SwingUIFactory/editorFactory|,|java+constructor:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/PookaDesktopPaneUIFactory(net.suberic.pooka.gui.PookaUIFactory)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+method:///net/suberic/pooka/gui/SwingUIFactory/getEditorFactory()|,|java+method:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/showEditorWindow(java.lang.String,java.lang.String,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory|,|java+class:///net/suberic/pooka/gui/SwingUIFactory|>,220,<|java+method:///net/suberic/pooka/gui/SwingUIFactory/showError(java.lang.String,java.lang.String)|,|java+method:///net/suberic/pooka/gui/PookaDesktopPaneUIFactory/showError(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/DisplayStyleComboBox|,|java+class:///net/suberic/util/gui/ConfigurableComboBox|>,220,<|java+field:///net/suberic/util/gui/ConfigurableComboBox/selectionMap|,|java+method:///net/suberic/pooka/gui/DisplayStyleComboBox/styleUpdated(int,int)|>>,
  <<|java+class:///net/suberic/pooka/gui/DisplayStyleComboBox|,|java+class:///net/suberic/util/gui/ConfigurableComboBox|>,220,<|java+method:///net/suberic/util/gui/ConfigurableComboBox/getAction(java.lang.String)|,|java+method:///net/suberic/pooka/gui/DisplayStyleComboBox/styleUpdated(int,int)|>>,
  <<|java+class:///net/suberic/pooka/gui/DisplayStyleComboBox|,|java+class:///net/suberic/util/gui/ConfigurableComboBox|>,220,<|java+field:///net/suberic/util/gui/ConfigurableComboBox/selectionMap|,|java+method:///net/suberic/pooka/gui/DisplayStyleComboBox/configureComponent(java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/pooka/gui/DisplayStyleComboBox|,|java+class:///net/suberic/util/gui/ConfigurableComboBox|>,220,<|java+method:///net/suberic/util/gui/ConfigurableComboBox/configureComponent(java.lang.String,net.suberic.util.VariableBundle)|,|java+method:///net/suberic/pooka/gui/DisplayStyleComboBox/configureComponent(java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/resources|,|java+method:///net/suberic/util/PreferencesVariableBundle/configure(java.lang.Class,java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/parentProperties|,|java+method:///net/suberic/util/PreferencesVariableBundle/configure(java.lang.Class,java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/writableProperties|,|java+method:///net/suberic/util/PreferencesVariableBundle/configure(java.lang.Class,java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/properties|,|java+method:///net/suberic/util/PreferencesVariableBundle/configure(java.lang.Class,java.lang.String,net.suberic.util.VariableBundle)|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+method:///net/suberic/util/VariableBundle/clearRemoveList()|,|java+method:///net/suberic/util/PreferencesVariableBundle/saveProperties()|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+method:///net/suberic/util/VariableBundle/propertyIsRemoved(java.lang.String)|,|java+method:///net/suberic/util/PreferencesVariableBundle/saveProperties()|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+method:///net/suberic/util/VariableBundle/getProperty(java.lang.String,java.lang.String)|,|java+method:///net/suberic/util/PreferencesVariableBundle/saveProperties()|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/writableProperties|,|java+method:///net/suberic/util/PreferencesVariableBundle/saveProperties()|>>,
  <<|java+class:///net/suberic/util/PreferencesVariableBundle|,|java+class:///net/suberic/util/VariableBundle|>,220,<|java+field:///net/suberic/util/VariableBundle/properties|,|java+method:///net/suberic/util/PreferencesVariableBundle/saveProperties()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/getValue()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/getValue()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/acceptDefaultFocus()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getPropertyEditorPane(java.awt.Component)|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/getPropertyEditorPane()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/firePropertyCommittingEvent(java.lang.String)|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/validateProperty()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/BooleanEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/util/gui/propedit/BooleanEditorPane/validateProperty()|>>,
