[
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(2570,15,<81,26>,<81,41>),|java+method:///java/util/AbstractSequentialList/iterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(8187,29,<268,8>,<268,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(8806,29,<287,8>,<287,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(9873,19,<322,25>,<322,44>),|java+method:///java/util/AbstractList/listIterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(16226,14,<547,20>,<547,34>),|java+method:///java/util/AbstractCollection/isEmpty()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(16635,14,<563,20>,<563,34>),|java+method:///java/util/AbstractCollection/isEmpty()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(1910,10,<60,52>,<60,62>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(1910,10,<60,52>,<60,62>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2262,10,<67,60>,<67,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2262,10,<67,60>,<67,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2493,10,<70,60>,<70,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2493,10,<70,60>,<70,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2723,10,<73,60>,<73,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2723,10,<73,60>,<73,70>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2914,10,<78,53>,<78,63>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(2914,10,<78,53>,<78,63>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(3045,10,<80,52>,<80,62>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(3045,10,<80,52>,<80,62>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(3132,10,<82,53>,<82,63>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(3132,10,<82,53>,<82,63>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(4495,10,<119,61>,<119,71>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(4495,10,<119,61>,<119,71>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(4937,10,<133,24>,<133,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(4937,10,<133,24>,<133,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(5120,10,<141,21>,<141,31>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(5120,10,<141,21>,<141,31>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(8639,8,<246,23>,<246,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(8639,8,<246,23>,<246,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9727,10,<274,26>,<274,36>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9727,10,<274,26>,<274,36>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9748,13,<275,8>,<275,21>),|java+method:///gnu/trove/THash/compact()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9748,13,<275,8>,<275,21>),|java+method:///gnu/trove/THash/compact()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9789,10,<276,26>,<276,36>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9789,10,<276,26>,<276,36>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9825,8,<277,23>,<277,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(9825,8,<277,23>,<277,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(10875,9,<307,24>,<307,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(10875,9,<307,24>,<307,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11198,10,<316,24>,<316,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11198,10,<316,24>,<316,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11480,9,<324,24>,<324,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11480,9,<324,24>,<324,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11544,9,<326,24>,<326,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(11544,9,<326,24>,<326,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(13084,9,<376,24>,<376,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(13084,9,<376,24>,<376,33>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(15766,10,<463,24>,<463,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(15766,10,<463,24>,<463,34>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(17797,10,<529,25>,<529,35>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(17797,10,<529,25>,<529,35>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(17874,10,<533,25>,<533,35>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashMapTest.java|(17874,10,<533,25>,<533,35>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4254,8,<132,25>,<132,33>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4254,8,<132,25>,<132,33>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4378,8,<136,23>,<136,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4378,8,<136,23>,<136,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4526,8,<141,29>,<141,37>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4526,8,<141,29>,<141,37>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4646,8,<145,23>,<145,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(4646,8,<145,23>,<145,31>),|java+field:///gnu/trove/THash/_maxSize|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(5865,22,<189,18>,<189,40>),|java+method:///gnu/trove/TObjectHash/insertionIndex(T)|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(5939,4,<191,29>,<191,33>),|java+field:///gnu/trove/TObjectHash/_set|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(6000,7,<193,25>,<193,32>),|java+field:///gnu/trove/TObjectHash/REMOVED|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(6013,4,<193,38>,<193,42>),|java+field:///gnu/trove/TObjectHash/_set|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(6051,22,<194,26>,<194,48>),|java+method:///gnu/trove/TObjectHash/insertionIndex(T)|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/test/gnu/trove/THashSetTest.java|(6126,4,<196,29>,<196,33>),|java+field:///gnu/trove/TObjectHash/_set|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(6761,11,<211,27>,<211,38>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(6761,11,<211,27>,<211,38>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(20251,20,<659,19>,<659,39>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(20251,20,<659,19>,<659,39>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(21074,23,<689,19>,<689,42>),|java+method:///gnu/trove/THash/isEmpty()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/THashMap.java|(21074,23,<689,19>,<689,42>),|java+method:///gnu/trove/THash/isEmpty()|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/THashSet.java|(5189,11,<157,27>,<157,38>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/THashSet.java|(5189,11,<157,27>,<157,38>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TPrimitiveHash|,|java+class:///gnu/trove/THash|>,210,|project://trove-2.1.0/src/gnu/trove/TPrimitiveIterator.java|(2423,12,<65,29>,<65,41>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(501,11,<23,15>,<23,26>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(501,11,<23,15>,<23,26>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(868,10,<36,42>,<36,52>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(868,10,<36,42>,<36,52>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashMap|,|java+class:///gnu/trove/TObjectHash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(1283,10,<49,42>,<49,52>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/TObjectHash|,|java+class:///gnu/trove/THash|>,211,|project://trove-2.1.0/src/gnu/trove/benchmark/Test.java|(1283,10,<49,42>,<49,52>),|java+method:///gnu/trove/THash/size()|>,
  <<|java+class:///gnu/trove/THashSet|,|java+class:///gnu/trove/TObjectHash|>,210,|project://trove-2.1.0/src/gnu/trove/benchmark/Main.java|(11138,20,<345,20>,<345,40>),|java+method:///gnu/trove/TObjectHash/forEach(gnu.trove.TObjectProcedure)|>
]
