[
  <<|java+class:///ChallengeHandler|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/org/webengruven/webmail/plugins/ChallengeHandler.java|(1623,49,<47,8>,<47,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(2285,23,<79,44>,<79,67>)>,
  <<|java+class:///net/wastl/webmail/server/URLHandlerTree|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(2269,39,<79,28>,<79,67>)>,
  <<|java+class:///AdminPlugin|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(1567,48,<54,1>,<54,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(2253,18,<84,25>,<84,43>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(2275,17,<84,47>,<84,64>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(2490,199,<88,5>,<91,54>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(2936,26,<98,18>,<98,44>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(3190,200,<107,5>,<110,54>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(3445,204,<113,5>,<116,54>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(4462,200,<144,5>,<147,54>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(4876,26,<155,13>,<155,39>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(4954,42,<156,50>,<156,92>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(5084,58,<158,11>,<158,69>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(5601,42,<166,57>,<166,99>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(5763,39,<170,50>,<170,89>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(6438,201,<186,5>,<189,54>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(6727,21,<193,3>,<193,24>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(6962,21,<199,7>,<199,28>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7110,21,<201,13>,<201,34>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7206,21,<204,4>,<204,25>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7282,21,<208,7>,<208,28>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7327,197,<211,2>,<214,54>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7617,21,<218,7>,<218,28>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(7685,194,<220,2>,<223,54>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/AdminPlugin.java|(8261,165,<234,5>,<234,170>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(2378,26,<77,14>,<77,40>)>,
  <<|java+class:///java/lang/Exception|,|java+class:///java/lang/Throwable|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(4208,62,<127,11>,<127,73>)>,
  <<|java+class:///java/lang/Exception|,|java+class:///java/lang/Throwable|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(4360,44,<134,5>,<134,49>)>,
  <<|java+interface:///javax/servlet/http/HttpServletRequest|,|java+interface:///javax/servlet/ServletRequest|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(5229,24,<164,24>,<164,48>)>,
  <<|java+interface:///javax/servlet/http/HttpServletResponse|,|java+interface:///javax/servlet/ServletResponse|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(5280,25,<165,25>,<165,50>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(5454,24,<171,14>,<171,38>)>,
  <<|java+class:///javax/servlet/ServletOutputStream|,|java+class:///java/io/OutputStream|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(6306,47,<206,30>,<206,77>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(6747,27,<217,11>,<217,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(6778,45,<218,2>,<218,47>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(7022,27,<225,11>,<225,38>)>,
  <<|java+class:///com/oreilly/servlet/multipart/FilePart|,|java+class:///com/oreilly/servlet/multipart/Part|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(7897,11,<249,45>,<249,56>)>,
  <<|java+class:///com/oreilly/servlet/multipart/FilePart|,|java+class:///com/oreilly/servlet/multipart/Part|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(7959,11,<251,15>,<251,26>)>,
  <<|java+class:///com/oreilly/servlet/multipart/FilePart|,|java+class:///com/oreilly/servlet/multipart/Part|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8035,11,<252,47>,<252,58>)>,
  <<|java+class:///net/wastl/webmail/misc/ByteStore|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8068,38,<253,3>,<253,41>)>,
  <<|java+class:///com/oreilly/servlet/multipart/ParamPart|,|java+class:///com/oreilly/servlet/multipart/Part|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8319,12,<258,39>,<258,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8283,67,<258,3>,<258,70>)>,
  <<|java+interface:///net/wastl/webmail/server/HTTPSession|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8598,66,<273,44>,<273,110>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(8882,32,<277,3>,<277,35>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,201,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(9036,37,<280,3>,<280,40>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(10684,26,<321,16>,<321,42>)>,
  <<|java+class:///net/wastl/webmail/ui/html/HTMLImage|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(10908,18,<328,17>,<328,35>)>,
  <<|java+class:///net/wastl/webmail/exceptions/DocumentNotFoundException|,|java+class:///java/lang/Throwable|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(12196,48,<365,8>,<365,56>)>,
  <<|java+class:///java/lang/Exception|,|java+class:///java/lang/Throwable|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(12717,48,<379,11>,<379,59>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailServlet|,|java+class:///net/wastl/webmail/server/WebMailServer|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(13332,30,<405,22>,<405,52>)>,
  <<|java+interface:///javax/servlet/http/HttpServletRequest|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(13332,30,<405,22>,<405,52>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+interface:///net/wastl/webmail/server/TimeableConnection|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(13369,30,<406,5>,<406,35>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(13422,38,<408,5>,<408,43>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(13689,19,<415,19>,<415,38>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailServlet|,|java+class:///net/wastl/webmail/server/WebMailServer|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(14271,28,<432,20>,<432,48>)>,
  <<|java+interface:///javax/servlet/http/HttpServletRequest|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(14271,28,<432,20>,<432,48>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+interface:///net/wastl/webmail/server/TimeableConnection|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(14306,30,<433,5>,<433,35>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(14360,38,<435,5>,<435,43>)>,
  <<|java+class:///net/wastl/webmail/server/AdminSession|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(14623,17,<442,17>,<442,34>)>,
  <<|java+anonymousClass:///net/wastl/webmail/server/WebMailServlet/getServers()/$anonymous1|,|java+interface:///java/util/Enumeration|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/server/WebMailServlet.java|(15539,142,<474,8>,<481,6>)>,
  <<|java+class:///java/io/FileOutputStream|,|java+class:///java/io/OutputStream|>,202,|java+variable:///net/wastl/webmail/storage/simple/SimpleStorage/saveXMLSysData()/scope(0)/scope(0)/cfg_out|>,
  <<|java+class:///net/wastl/webmail/storage/simple/SimpleStorage|,|java+interface:///net/wastl/webmail/config/ConfigurationListener|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(4234,82,<135,1>,<135,83>)>,
  <<|java+anonymousClass:///net/wastl/webmail/storage/simple/SimpleStorage/getUsers(java/lang/String)/$anonymous1|,|java+interface:///java/io/FilenameFilter|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(4933,180,<155,26>,<163,5>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(6611,60,<204,8>,<204,68>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(6687,17,<205,12>,<205,29>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(6922,17,<213,12>,<213,29>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(8169,15,<248,4>,<248,19>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(8243,49,<252,31>,<252,80>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(8230,62,<252,18>,<252,80>)>,
  <<|java+class:///java/io/FileInputStream|,|java+class:///java/io/InputStream|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(8897,61,<266,51>,<266,112>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+interface:///net/wastl/webmail/server/UserData|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(9646,51,<283,6>,<283,57>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+interface:///net/wastl/webmail/server/UserData|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(9918,51,<295,6>,<295,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(10159,54,<302,5>,<302,59>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(10159,54,<302,5>,<302,59>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+interface:///net/wastl/webmail/server/UserData|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(10274,51,<306,2>,<306,53>)>,
  <<|java+class:///java/io/FileOutputStream|,|java+class:///java/io/OutputStream|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(11099,138,<332,6>,<333,63>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(12469,52,<368,1>,<368,53>)>,
  <<|java+class:///java/lang/String|,|java+interface:///java/util/Enumeration|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(5299,45,<171,10>,<171,55>)>,
  <<|java+class:///java/lang/String|,|java+interface:///java/util/Enumeration|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/storage/simple/SimpleStorage.java|(5299,45,<171,10>,<171,55>)>,
