[
  <<|java+class:///org/apache/xalan/templates/ElemAttribute|,|java+class:///org/apache/xalan/templates/ElemElement|>,<|project://xalan-2.7.1/src/org/apache/xalan/templates/ElemAttributeSet.java|(3549,25,<125,6>,<125,31>),|java+method:///org/apache/xalan/templates/ElemElement/execute(org.apache.xalan.transformer.TransformerImpl)|,|java+project:///|>>,
  <<|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2RTFDTM|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xml/dtm/ref/sax2dtm/SAX2RTFDTM.java|(8036,23,<203,20>,<203,43>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_parent(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2RTFDTM|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xml/dtm/ref/sax2dtm/SAX2RTFDTM.java|(8124,23,<205,38>,<205,61>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_parent(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(7861,17,<213,15>,<213,32>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNodeType(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(8065,17,<220,15>,<220,32>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNodeType(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(15781,28,<491,12>,<491,40>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNamespaceType(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(27836,25,<842,15>,<842,40>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_type(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(33374,17,<1018,15>,<1018,32>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNodeType(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(33860,19,<1032,66>,<1032,85>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNextAttribute(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/getNextAttributeIdentity(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(34493,18,<1053,20>,<1053,38>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNodeType(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(35395,22,<1089,18>,<1089,40>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNextAttribute(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/getNextAttributeIdentity(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(35447,23,<1091,16>,<1091,39>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getExpandedTypeID(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/_exptype(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(47422,38,<1436,39>,<1436,77>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_firstch(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(47501,22,<1437,39>,<1437,61>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_nextsib(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(47589,14,<1439,28>,<1439,42>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_nextsib(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/SAXImpl|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|project://xalan-2.7.1/src/org/apache/xalan/xsltc/dom/SAXImpl.java|(49340,22,<1497,28>,<1497,50>),|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getNextAttribute(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM2/getNextAttributeIdentity(int)|>>,
