[
  <<|java+class:///org/apache/html/dom/HTMLDocumentImpl|,|java+interface:///org/w3c/dom/html/HTMLDocument|>,202,|java+variable:///org/cyberneko/html/DOMFragmentParserTest/doTest(java.lang.String,java.lang.String)/document|>,
  <<|java+class:///java/io/OutputStreamWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(4828,63,<139,8>,<139,71>)>,
  <<|java+class:///java/io/PrintWriter|,|java+class:///java/io/Writer|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(5394,19,<153,23>,<153,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(11869,44,<336,12>,<336,56>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(12139,26,<341,20>,<341,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(12268,23,<344,25>,<344,48>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(12402,46,<348,37>,<348,83>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,202,|java+variable:///org/cyberneko/html/filters/Writer/main(java.lang.String%5B%5D)/parser|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15097,17,<427,16>,<427,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15213,16,<431,16>,<431,32>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15233,17,<431,36>,<431,53>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15349,16,<435,16>,<435,32>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15458,16,<439,16>,<439,32>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15565,16,<443,16>,<443,32>)>,
  <<|java+class:///java/io/PrintStream|,|java+class:///java/io/OutputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(15971,33,<454,37>,<454,70>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(16168,36,<458,12>,<458,48>)>,
  <<|java+class:///org/cyberneko/html/HTMLEventInfo/SynthesizedItem|,|java+interface:///org/cyberneko/html/HTMLEventInfo|>,202,|java+field:///org/cyberneko/html/HTMLTagBalancer/SYNTHESIZED_ITEM|>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,202,|java+field:///org/cyberneko/html/HTMLTagBalancer/fEmptyAttrs|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/cyberneko/html/HTMLTagBalancer/endElementsBuffer_|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(9177,40,<281,16>,<281,56>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(9623,43,<292,16>,<292,59>)>,
  <<|java+interface:///org/cyberneko/html/HTMLErrorReporter|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(10972,54,<328,25>,<328,79>)>,
  <<|java+class:///org/apache/xerces/xni/QName|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11069,53,<330,32>,<330,85>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11305,31,<338,12>,<338,43>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11418,31,<342,12>,<342,43>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11530,40,<346,12>,<346,52>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11834,30,<357,12>,<357,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(11975,30,<362,12>,<362,42>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+variable:///org/cyberneko/html/HTMLTagBalancer/consumeBufferedEndElements()/toConsume|>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer/ElementEntry|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(17160,31,<510,33>,<510,64>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(17782,22,<531,12>,<531,34>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(26482,22,<749,9>,<749,31>)>,
  <<|java+class:///org/apache/xerces/xni/QName|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(27087,39,<764,37>,<764,76>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(39136,53,<1117,27>,<1117,80>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(42511,45,<1202,12>,<1202,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(43278,21,<1228,12>,<1228,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(43361,21,<1231,12>,<1231,33>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,202,|java+variable:///org/cyberneko/html/HTMLTagBalancer/Info/Info(org.cyberneko.html.HTMLElements.Element,org.apache.xerces.xni.QName,org.apache.xerces.xni.XMLAttributes)/scope(0)/scope(0)/newattrs|>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer/Info|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(47762,18,<1371,10>,<1371,28>)>,
  <<|java+class:///org/cyberneko/html/HTMLAugmentations|,|java+interface:///org/apache/xerces/xni/Augmentations|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(49003,51,<1411,14>,<1411,65>)>,
  <<|java+class:///org/cyberneko/html/HTMLAugmentations|,|java+interface:///org/apache/xerces/xni/Augmentations|>,206,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLTagBalancer.java|(42583,4,<1204,15>,<1204,19>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/parsers/DOMParser.java|(1556,31,<49,8>,<49,39>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/parsers/DOMParser.java|(1652,150,<52,12>,<53,78>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+variable:///org/cyberneko/html/CanonicalTest/suite()/dataFiles|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2343,24,<68,43>,<68,67>)>,
  <<|java+anonymousClass:///org/cyberneko/html/CanonicalTest/suite()/$anonymous1|,|java+interface:///java/io/FileFilter|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2388,20,<69,17>,<69,37>)>,
  <<|java+anonymousClass:///org/cyberneko/html/CanonicalTest/suite()/$anonymous1|,|java+interface:///java/io/FileFilter|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2164,490,<65,8>,<76,10>)>,
  <<|java+class:///java/io/File|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2789,23,<80,44>,<80,67>)>,
  <<|java+class:///org/cyberneko/html/CanonicalTest|,|java+interface:///junit/framework/Test|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2757,57,<80,12>,<80,69>)>,
  <<|java+class:///java/io/FileOutputStream|,|java+class:///java/io/OutputStream|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(3936,45,<110,32>,<110,77>)>,
  <<|java+class:///java/io/FileInputStream|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(4247,47,<120,16>,<120,63>)>,
  <<|java+class:///org/cyberneko/html/UTF8BOMSkipper|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(4208,96,<119,57>,<120,73>)>,
  <<|java+class:///java/io/InputStreamReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(4189,116,<119,38>,<120,74>)>,
  <<|java+class:///java/io/StringWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(4750,15,<134,44>,<134,59>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,202,|java+variable:///org/cyberneko/html/CanonicalTest/getResult(java.io.File)/scope(0)/scope(0)/parser|>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(4924,75,<140,12>,<140,87>)>,
  <<|java+class:///java/io/FileReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5197,46,<144,42>,<144,88>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5627,22,<151,24>,<151,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5699,20,<152,46>,<152,66>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5750,36,<153,28>,<153,64>)>,
  <<|java+class:///java/io/StringWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5838,25,<154,48>,<154,73>)>,
  <<|java+class:///org/cyberneko/html/HTMLErrorHandler|,|java+interface:///org/apache/xerces/xni/parser/XMLErrorHandler|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5815,49,<154,25>,<154,74>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(5965,29,<158,24>,<158,53>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(6277,52,<170,38>,<170,90>)>,
  <<|java+class:///junit/framework/TestSuite|,|java+interface:///junit/framework/Test|>,206,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/CanonicalTest.java|(2841,5,<82,15>,<82,20>)>,
  <<|java+class:///java/io/IOException|,|java+class:///java/lang/Exception|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLErrorHandler.java|(1001,19,<32,12>,<32,31>)>,
  <<|java+class:///java/io/FileInputStream|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/ObjectFactory.java|(7459,27,<186,24>,<186,51>)>,
  <<|java+class:///java/io/FileInputStream|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/ObjectFactory.java|(8222,15,<204,16>,<204,31>)>,
  <<|java+class:///java/lang/ClassNotFoundException|,|java+class:///java/lang/Exception|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/ObjectFactory.java|(12637,82,<319,18>,<320,58>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/ObjectFactory.java|(17915,27,<453,14>,<453,41>)>,
  <<|java+class:///org/apache/xerces/util/DefaultErrorHandler|,|java+interface:///org/apache/xerces/xni/parser/XMLErrorHandler|>,202,|java+field:///org/cyberneko/html/HTMLConfiguration/fErrorHandler|>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration/ErrorReporter|,|java+interface:///org/cyberneko/html/HTMLErrorReporter|>,202,|java+field:///org/cyberneko/html/HTMLConfiguration/fErrorReporter|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(6760,35,<204,27>,<204,62>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(6824,35,<205,27>,<205,62>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner|,|java+interface:///org/cyberneko/html/HTMLComponent|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(7152,30,<221,8>,<221,38>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/cyberneko/html/HTMLComponent|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(7192,26,<222,8>,<222,34>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder|,|java+interface:///org/cyberneko/html/HTMLComponent|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(7228,30,<223,8>,<223,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(9274,33,<282,8>,<282,41>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(9317,33,<283,8>,<283,41>)>,
  <<|java+interface:///org/cyberneko/html/HTMLErrorReporter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(9360,43,<284,8>,<284,51>)>,
  <<|java+interface:///org/cyberneko/html/HTMLComponent|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(12212,43,<354,38>,<354,81>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(12547,26,<364,12>,<364,38>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(12619,41,<365,42>,<365,83>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder|,|java+interface:///org/cyberneko/html/HTMLComponent|>,205,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(12911,21,<370,37>,<370,58>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|>,205,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(12911,21,<370,37>,<370,58>)>,
  <<|java+interface:///org/cyberneko/html/HTMLComponent|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(13122,43,<378,38>,<378,81>)>,
  <<|java+interface:///org/cyberneko/html/HTMLTagBalancingListener|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(13512,34,<387,46>,<387,80>)>,
  <<|java+interface:///org/cyberneko/html/HTMLComponent|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19460,43,<564,38>,<564,81>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLComponentManager|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19517,21,<565,12>,<565,33>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,202,|java+variable:///org/cyberneko/html/HTMLConfiguration/reset()/lastSource|>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19688,47,<571,12>,<571,59>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19749,48,<572,12>,<572,60>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19811,29,<573,12>,<573,41>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19904,43,<576,12>,<576,55>)>,
