[
  <<|java+class:///proguard/classfile/attribute/preverification/IntegerType|,|java+class:///proguard/classfile/attribute/preverification/VerificationType|>,220,<|java+field:///proguard/classfile/attribute/preverification/VerificationType/INTEGER_TYPE|,|java+method:///proguard/classfile/attribute/preverification/IntegerType/getTag()|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/and(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/and(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/subtract(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/subtractFrom(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/xor(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/xor(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/remainder(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/remainderOf(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/CompositeIntegerValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/hashCode()|,|java+method:///proguard/evaluation/value/CompositeIntegerValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/CompositeIntegerValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/CompositeIntegerValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/IdentifiedLongValue|,|java+class:///proguard/evaluation/value/SpecificLongValue|>,220,<|java+method:///proguard/evaluation/value/SpecificLongValue/hashCode()|,|java+method:///proguard/evaluation/value/IdentifiedLongValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/IdentifiedLongValue|,|java+class:///proguard/evaluation/value/SpecificLongValue|>,220,<|java+method:///proguard/evaluation/value/SpecificLongValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/IdentifiedLongValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/ConvertedCharacterValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/hashCode()|,|java+method:///proguard/evaluation/value/ConvertedCharacterValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/ConvertedCharacterValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/ConvertedCharacterValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/DoubleType|,|java+class:///proguard/classfile/attribute/preverification/VerificationType|>,220,<|java+field:///proguard/classfile/attribute/preverification/VerificationType/DOUBLE_TYPE|,|java+method:///proguard/classfile/attribute/preverification/DoubleType/getTag()|>>,
  <<|java+class:///proguard/ArgumentWordReader|,|java+class:///proguard/WordReader|>,220,<|java+method:///proguard/WordReader/close()|,|java+method:///proguard/ArgumentWordReader/main(java.lang.String%5B%5D)|>>,
  <<|java+class:///proguard/ArgumentWordReader|,|java+class:///proguard/WordReader|>,220,<|java+method:///proguard/WordReader/nextWord(boolean)|,|java+method:///proguard/ArgumentWordReader/main(java.lang.String%5B%5D)|>>,
  <<|java+class:///proguard/evaluation/value/CompositeFloatValue|,|java+class:///proguard/evaluation/value/SpecificFloatValue|>,220,<|java+method:///proguard/evaluation/value/SpecificFloatValue/hashCode()|,|java+method:///proguard/evaluation/value/CompositeFloatValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/CompositeFloatValue|,|java+class:///proguard/evaluation/value/SpecificFloatValue|>,220,<|java+method:///proguard/evaluation/value/SpecificFloatValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/CompositeFloatValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/shrink/ShortestUsageMarker|,|java+class:///proguard/shrink/UsageMarker|>,220,<|java+method:///proguard/shrink/UsageMarker/markMethodHierarchy(proguard.classfile.Clazz,proguard.classfile.Method)|,|java+method:///proguard/shrink/ShortestUsageMarker/markMethodHierarchy(proguard.classfile.Clazz,proguard.classfile.Method)|>>,
  <<|java+class:///proguard/shrink/ShortestUsageMarker|,|java+class:///proguard/shrink/UsageMarker|>,220,<|java+method:///proguard/shrink/UsageMarker/markProgramMethodBody(proguard.classfile.ProgramClass,proguard.classfile.ProgramMethod)|,|java+method:///proguard/shrink/ShortestUsageMarker/markProgramMethodBody(proguard.classfile.ProgramClass,proguard.classfile.ProgramMethod)|>>,
  <<|java+class:///proguard/shrink/ShortestUsageMarker|,|java+class:///proguard/shrink/UsageMarker|>,220,<|java+method:///proguard/shrink/UsageMarker/markProgramClassBody(proguard.classfile.ProgramClass)|,|java+method:///proguard/shrink/ShortestUsageMarker/markProgramClassBody(proguard.classfile.ProgramClass)|>>,
  <<|java+class:///proguard/shrink/ShortestUsageMarker|,|java+class:///proguard/shrink/UsageMarker|>,220,<|java+method:///proguard/shrink/UsageMarker/markProgramFieldBody(proguard.classfile.ProgramClass,proguard.classfile.ProgramField)|,|java+method:///proguard/shrink/ShortestUsageMarker/markProgramFieldBody(proguard.classfile.ProgramClass,proguard.classfile.ProgramField)|>>,
  <<|java+class:///proguard/gui/KeepSpecificationsPanel|,|java+class:///proguard/gui/ClassSpecificationsPanel|>,220,<|java+field:///proguard/gui/ClassSpecificationsPanel/classSpecificationDialog|,|java+method:///proguard/gui/KeepSpecificationsPanel/setClassSpecification(proguard.ClassSpecification)|>>,
  <<|java+class:///proguard/gui/KeepSpecificationsPanel|,|java+class:///proguard/gui/ClassSpecificationsPanel|>,220,<|java+field:///proguard/gui/ClassSpecificationsPanel/classSpecificationDialog|,|java+method:///proguard/gui/KeepSpecificationsPanel/getClassSpecification()|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/generalize(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/generalize(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/divideOf(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/divide(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/add(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/add(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/SpecificFloatValue|>,220,<|java+method:///proguard/evaluation/value/SpecificFloatValue/hashCode()|,|java+method:///proguard/evaluation/value/ParticularFloatValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/compareReverse(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/compare(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/remainderOf(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/remainder(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/divide(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/divideOf(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/subtractFrom(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/subtract(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/SpecificFloatValue|>,220,<|java+method:///proguard/evaluation/value/SpecificFloatValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/subtract(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/subtractFrom(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/remainder(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/remainderOf(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularFloatValue|,|java+class:///proguard/evaluation/value/FloatValue|>,220,<|java+method:///proguard/evaluation/value/FloatValue/multiply(proguard.evaluation.value.ParticularFloatValue)|,|java+method:///proguard/evaluation/value/ParticularFloatValue/multiply(proguard.evaluation.value.FloatValue)|>>,
  <<|java+class:///proguard/evaluation/value/UnknownIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/MAYBE|,|java+method:///proguard/evaluation/value/UnknownIntegerValue/lessThan(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/UnknownIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/MAYBE|,|java+method:///proguard/evaluation/value/UnknownIntegerValue/equal(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/UnknownIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/MAYBE|,|java+method:///proguard/evaluation/value/UnknownIntegerValue/lessThanOrEqual(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+method:///proguard/classfile/attribute/preverification/StackMapFrame/hashCode()|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/hashCode()|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/SAME_ONE_FRAME|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/getTag()|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/SAME_ONE_FRAME_EXTENDED|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/getTag()|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/u2offsetDelta|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/getTag()|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/SAME_ONE_FRAME|,|java+constructor:///proguard/classfile/attribute/preverification/SameOneFrame/SameOneFrame(int)|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/u2offsetDelta|,|java+constructor:///proguard/classfile/attribute/preverification/SameOneFrame/SameOneFrame(int)|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+method:///proguard/classfile/attribute/preverification/StackMapFrame/toString()|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/toString()|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+method:///proguard/classfile/attribute/preverification/StackMapFrame/equals(java.lang.Object)|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/classfile/attribute/preverification/SameOneFrame|,|java+class:///proguard/classfile/attribute/preverification/StackMapFrame|>,220,<|java+field:///proguard/classfile/attribute/preverification/StackMapFrame/u2offsetDelta|,|java+method:///proguard/classfile/attribute/preverification/SameOneFrame/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/io/ManifestRewriter|,|java+class:///proguard/io/DataEntryRewriter|>,220,<|java+method:///proguard/io/DataEntryRewriter/copyData(java.io.Reader,java.io.Writer)|,|java+method:///proguard/io/ManifestRewriter/copyData(java.io.Reader,java.io.Writer)|>>,
  <<|java+class:///proguard/classfile/instruction/SwitchInstruction|,|java+class:///proguard/classfile/instruction/Instruction|>,220,<|java+field:///proguard/classfile/instruction/Instruction/opcode|,|java+constructor:///proguard/classfile/instruction/SwitchInstruction/SwitchInstruction(byte,int,int%5B%5D)|>>,
  <<|java+class:///proguard/classfile/instruction/SwitchInstruction|,|java+class:///proguard/classfile/instruction/Instruction|>,220,<|java+field:///proguard/classfile/instruction/Instruction/opcode|,|java+method:///proguard/classfile/instruction/SwitchInstruction/copy(proguard.classfile.instruction.SwitchInstruction)|>>,
  <<|java+class:///proguard/classfile/instruction/SwitchInstruction|,|java+class:///proguard/classfile/instruction/Instruction|>,220,<|java+method:///proguard/classfile/instruction/Instruction/getName()|,|java+method:///proguard/classfile/instruction/SwitchInstruction/toString()|>>,
  <<|java+class:///proguard/evaluation/value/DoubleValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+method:///proguard/evaluation/value/Value/doubleValue()|,|java+method:///proguard/evaluation/value/DoubleValue/generalize(proguard.evaluation.value.Value)|>>,
  <<|java+class:///proguard/evaluation/value/DoubleValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/TYPE_DOUBLE|,|java+method:///proguard/evaluation/value/DoubleValue/computationalType()|>>,
  <<|java+class:///proguard/evaluation/value/ConvertedDoubleValue|,|java+class:///proguard/evaluation/value/SpecificDoubleValue|>,220,<|java+method:///proguard/evaluation/value/SpecificDoubleValue/hashCode()|,|java+method:///proguard/evaluation/value/ConvertedDoubleValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/ConvertedDoubleValue|,|java+class:///proguard/evaluation/value/SpecificDoubleValue|>,220,<|java+method:///proguard/evaluation/value/SpecificDoubleValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/ConvertedDoubleValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/CompositeLongValue|,|java+class:///proguard/evaluation/value/SpecificLongValue|>,220,<|java+method:///proguard/evaluation/value/SpecificLongValue/hashCode()|,|java+method:///proguard/evaluation/value/CompositeLongValue/hashCode()|>>,
  <<|java+class:///proguard/evaluation/value/CompositeLongValue|,|java+class:///proguard/evaluation/value/SpecificLongValue|>,220,<|java+method:///proguard/evaluation/value/SpecificLongValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/CompositeLongValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/and(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/and(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/subtract(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/subtractFrom(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/divideOf(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/divide(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/add(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/add(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/divide(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/divideOf(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/multiply(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/multiply(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/LongValue|>,220,<|java+method:///proguard/evaluation/value/LongValue/or(proguard.evaluation.value.ParticularLongValue)|,|java+method:///proguard/evaluation/value/ParticularLongValue/or(proguard.evaluation.value.LongValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularLongValue|,|java+class:///proguard/evaluation/value/SpecificLongValue|>,220,<|java+method:///proguard/evaluation/value/SpecificLongValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/ParticularLongValue/equals(java.lang.Object)|>>,
