[
  <<|java+class:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable|,|java+class:///org/rssowl/core/persist/event/runnable/EventRunnable|>,220,<|java+method:///org/rssowl/core/persist/event/runnable/EventRunnable/getDAOService()|,|java+constructor:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable/SearchConditionEventRunnable()|>>,
  <<|java+class:///org/rssowl/core/tests/connection/MyCredentialsProvider|,|java+class:///org/rssowl/core/connection/PlatformCredentialsProvider|>,220,<|java+method:///org/rssowl/core/connection/PlatformCredentialsProvider/deleteProxyCredentials(java.net.URI)|,|java+method:///org/rssowl/core/tests/connection/MyCredentialsProvider/deleteProxyCredentials(java.net.URI)|>>,
  <<|java+class:///org/rssowl/core/persist/reference/FolderReference|,|java+class:///org/rssowl/core/persist/reference/ModelReference|>,220,<|java+method:///org/rssowl/core/persist/reference/ModelReference/resolve()|,|java+method:///org/rssowl/core/persist/reference/FolderReference/resolve()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWithWildcards()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_ALL_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCases()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchNewsWithBINLocation()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsAllCasesWithNegationStateCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testEmptyFolderLocationCondition()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/assertSame(java.util.List,org.rssowl.core.persist.INews%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest3|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest3/testSearchEntireNewsWith_CONTAINS_Specifier()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/AttachmentDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/doDelete(T)|,|java+method:///org/rssowl/core/internal/persist/dao/AttachmentDAOImpl/doDelete(org.rssowl.core.persist.IAttachment)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/AttachmentDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/AttachmentDAOImpl/doDelete(org.rssowl.core.persist.IAttachment)|>>,
  <<|java+class:///org/rssowl/ui/internal/dialogs/SearchNewsDialog/ScoredNewsLabelProvider|,|java+class:///org/rssowl/ui/internal/editors/feed/NewsTableLabelProvider|>,220,<|java+method:///org/rssowl/ui/internal/editors/feed/NewsTableLabelProvider/erase(org.eclipse.swt.widgets.Event,java.lang.Object)|,|java+method:///org/rssowl/ui/internal/dialogs/SearchNewsDialog/ScoredNewsLabelProvider/erase(org.eclipse.swt.widgets.Event,java.lang.Object)|>>,
  <<|java+class:///org/rssowl/ui/internal/dialogs/SearchNewsDialog/ScoredNewsLabelProvider|,|java+class:///org/rssowl/ui/internal/editors/feed/NewsTableLabelProvider|>,220,<|java+method:///org/rssowl/ui/internal/editors/feed/NewsTableLabelProvider/getColumnImage(java.lang.Object,org.rssowl.ui.internal.editors.feed.NewsColumn,int)|,|java+method:///org/rssowl/ui/internal/dialogs/SearchNewsDialog/ScoredNewsLabelProvider/getColumnImage(java.lang.Object,org.rssowl.ui.internal.editors.feed.NewsColumn,int)|>>,
