FINAL RESULTS 
Sysver	numExplicitCC	numCCUsed	perCCUsed	numCCDC	perCCDC	numCCSubtype	perCCSubtype	numCCExreuseNoSubtype	perCCExreuseNoSubtype	numCCUsedOnlyInRe	perCCUsedOnlyInRe	numCCUnexplSuper	perCCUnexplSuper	numCCUnExplCategory	perCCUnExplCategory	numCCUnknown	perCCUnknown	numExplicitCI	numOnlyCISubtype	perOnlyCISubtype	numExplainedCI	perExplainedCI	numCategoryExplCI	perCategoryExplCI	numUnexplainedCI	perUnexplainedCI	numExplicitII	numIISubtype	perIISubtype	numOnlyIIReuse	perOnlyIIReuse	numExplainedII	perExplainedII	numCategoryExplII	perCategoryExplII	numUnexplainedII	perUnexplainedII	
findbugs	434	391	0.9009	82	0.1889	273	0.6982	69	0.1765	49	0.1253	16	0.03687	4	0.009217	13	0.02995	349	151	0.4327	123	0.3524	32	0.09169	43	0.1232	24	13	0.5417	7	0.2917	3	0.125	0	0.	1	0.04167	 
fitjava-1.1	65	40	0.6154	19	0.2923	25	0.625	1	0.025	14	0.35	0	0.	2	0.03077	15	0.2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
fitlibraryforfitnesse-20110301	498	266	0.5341	96	0.1928	220	0.8271	8	0.03008	38	0.1429	48	0.09639	86	0.1727	60	0.1205	222	86	0.3874	77	0.3468	10	0.04505	49	0.2207	24	20	0.8333	0	0.	0	0.	0	0.	4	0.1667	 
freecol-0.10.3	495	479	0.9677	134	0.2707	397	0.8288	16	0.03340	66	0.1378	7	0.01414	0	0.	1	0.002020	82	35	0.4268	4	0.04878	22	0.2683	21	0.2561	1	1	1.	0	0.	0	0.	0	0.	0	0.	 
FreeCS	61	60	0.9836	0	0.	60	1.	0	0.	0	0.	0	0.	0	0.	1	0.01639	25	14	0.56	6	0.24	0	0.	5	0.2	0	0	0	0	0	0	0	0	0	0	0	 
galleon-2.3.0	211	198	0.9384	3	0.01422	181	0.9141	1	0.005051	16	0.08081	12	0.05687	0	0.	0	0.	62	46	0.7419	12	0.1935	4	0.06452	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
ganttproject-2.1.1	185	169	0.9135	72	0.3892	99	0.5858	18	0.1065	52	0.3077	6	0.03243	0	0.	6	0.03243	223	172	0.7713	14	0.06278	15	0.06726	22	0.09865	17	14	0.8235	2	0.1176	1	0.05882	0	0.	0	0.	 
heritrix-1.14.4	292	215	0.7363	122	0.4178	120	0.5581	35	0.1628	60	0.2791	8	0.02740	0	0.	28	0.09589	166	62	0.3735	91	0.5482	4	0.02410	9	0.05422	8	2	0.25	1	0.125	3	0.375	1	0.125	1	0.125	 
hibernate-4.2.0	982	836	0.8513	304	0.3096	634	0.7584	75	0.08971	127	0.1519	41	0.04175	1	0.001018	21	0.02138	1029	666	0.6472	67	0.06511	70	0.06803	226	0.2196	199	136	0.6834	24	0.1206	20	0.1005	7	0.03518	12	0.06030	 
hsqldb-2.0.0	205	186	0.9073	84	0.4098	133	0.7151	24	0.1290	29	0.1559	0	0.	1	0.004878	15	0.07317	98	87	0.8878	2	0.02041	8	0.08163	1	0.01020	7	6	0.8571	0	0.	0	0.	1	0.1429	0	0.	 
htmlunit-2.8	637	588	0.9231	47	0.07378	237	0.4031	11	0.01871	340	0.5782	1	0.001570	21	0.03297	20	0.03140	69	48	0.6957	2	0.02899	9	0.1304	10	0.1449	0	0	0	0	0	0	0	0	0	0	0	 
informa-0.7.0-alpha2	40	29	0.725	5	0.125	7	0.2414	1	0.03448	21	0.7241	0	0.	0	0.	1	0.025	63	47	0.7460	5	0.07937	5	0.07937	6	0.09524	46	3	0.06522	31	0.6739	6	0.1304	0	0.	6	0.1304	 
iReport-3.7.5	712	669	0.9396	559	0.7851	597	0.8924	39	0.05830	33	0.04933	3	0.004213	0	0.	0	0.	105	46	0.4381	6	0.05714	7	0.06667	46	0.4381	0	0	0	0	0	0	0	0	0	0	0	 
itext-5.0.3	191	180	0.9424	42	0.2199	139	0.7722	8	0.04444	33	0.1833	2	0.01047	1	0.005236	6	0.03141	99	72	0.7273	0	0.	4	0.04040	23	0.2323	4	4	1.	0	0.	0	0.	0	0.	0	0.	 
james-2.2.0_src-java	115	83	0.7217	56	0.4870	14	0.1687	3	0.03614	66	0.7952	0	0.	0	0.	15	0.1304	67	34	0.5075	21	0.3134	3	0.04478	9	0.1343	3	3	1.	0	0.	0	0.	0	0.	0	0.	 
jasml-0.10	22	21	0.9545	0	0.	21	1.	0	0.	0	0.	0	0.	0	0.	1	0.04545	2	0	0.	2	1.	0	0.	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
javacc-5.0	60	54	0.9	3	0.05	33	0.6111	4	0.07407	17	0.3148	1	0.01667	0	0.	4	0.06667	8	8	1.	0	0.	0	0.	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
jchempaint-3.0.1	1196	869	0.7266	49	0.04097	259	0.2980	198	0.2278	412	0.4741	73	0.06104	2	0.001672	241	0.2015	495	370	0.7475	63	0.1273	12	0.02424	50	0.1010	55	48	0.8727	1	0.01818	1	0.01818	1	0.01818	4	0.07273	 
jedit-4.3.2	226	213	0.9425	80	0.3540	194	0.9108	0	0.	19	0.08920	0	0.	2	0.008850	7	0.03097	172	92	0.5349	23	0.1337	16	0.09302	41	0.2384	0	0	0	0	0	0	0	0	0	0	0	 
jext-5.0	339	273	0.8053	50	0.1475	228	0.8352	7	0.02564	38	0.1392	52	0.1534	0	0.	11	0.03245	91	51	0.5604	25	0.2747	12	0.1319	3	0.03297	0	0	0	0	0	0	0	0	0	0	0	 
jFin_DateMath-R1.0.1_src-main	20	17	0.85	16	0.8	17	1.	0	0.	0	0.	0	0.	0	0.	0	0.	2	0	0.	0	0.	0	0.	2	1.	0	0	0	0	0	0	0	0	0	0	0	 
jfreechart-1.0.13	286	281	0.9825	80	0.2797	269	0.9573	6	0.02135	6	0.02135	0	0.	0	0.	2	0.006993	286	207	0.7238	19	0.06643	34	0.1189	26	0.09091	35	31	0.8857	3	0.08571	0	0.	0	0.	1	0.02857	 
jgraph-5.13.0.0	105	100	0.9524	47	0.4476	95	0.95	1	0.01	4	0.04	3	0.02857	0	0.	1	0.009524	68	58	0.8529	2	0.02941	8	0.1176	0	0.	3	3	1.	0	0.	0	0.	0	0.	0	0.	 
jgraphpad-5.10.0.2	230	175	0.7609	24	0.1043	33	0.1886	2	0.01143	140	0.8	0	0.	2	0.008696	52	0.2261	26	12	0.4615	10	0.3846	0	0.	4	0.1538	0	0	0	0	0	0	0	0	0	0	0	 
jgrapht-0.8.1	103	75	0.7282	12	0.1165	55	0.7333	3	0.04	17	0.2267	7	0.06796	1	0.009709	3	0.02913	103	56	0.5437	1	0.009709	36	0.3495	10	0.09709	6	6	1.	0	0.	0	0.	0	0.	0	0.	 
JGroups	313	292	0.9329	33	0.1054	209	0.7158	3	0.01027	80	0.2740	4	0.01278	1	0.003195	15	0.04792	202	165	0.8168	7	0.03465	11	0.05446	19	0.09406	10	9	0.9	1	0.1	0	0.	0	0.	0	0.	 
jhotdraw-7.5.1	305	294	0.9639	141	0.4623	271	0.9218	3	0.01020	20	0.06803	1	0.003279	0	0.	3	0.009836	130	85	0.6538	6	0.04615	13	0.1	26	0.2	14	13	0.9286	1	0.07143	0	0.	0	0.	0	0.	 
jmeter-2.5.1	453	336	0.7417	84	0.1854	200	0.5952	46	0.1369	90	0.2679	29	0.06402	0	0.	51	0.1126	323	91	0.2817	71	0.2198	97	0.3003	64	0.1981	3	3	1.	0	0.	0	0.	0	0.	0	0.	 
jmoney-0.4.4	21	21	1.	9	0.4286	20	0.9524	0	0.	1	0.04762	0	0.	0	0.	0	0.	16	4	0.25	12	0.75	0	0.	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
jOggPlayer114s	49	36	0.7347	3	0.06122	27	0.75	0	0.	9	0.25	0	0.	0	0.	5	0.1020	21	6	0.2857	5	0.2381	0	0.	10	0.4762	0	0	0	0	0	0	0	0	0	0	0	 
jparse-0.96	55	55	1.	44	0.8	55	1.	0	0.	0	0.	0	0.	0	0.	0	0.	41	6	0.1463	35	0.8537	0	0.	0	0.	2	1	0.5	1	0.5	0	0.	0	0.	0	0.	 
jpf-1.5.1	39	32	0.8205	5	0.1282	17	0.5313	1	0.03125	14	0.4375	0	0.	0	0.	6	0.1538	40	21	0.525	9	0.225	3	0.075	7	0.175	19	12	0.6316	6	0.3158	0	0.	0	0.	1	0.05263	 
jrat-1-beta1_branches-nkadwa_nio-source-core-java	25	17	0.68	17	0.68	10	0.5882	3	0.1765	4	0.2353	3	0.12	0	0.	1	0.04	82	54	0.6585	6	0.07317	10	0.1220	12	0.1463	0	0	0	0	0	0	0	0	0	0	0	 
jrefactory-2.9.19	811	793	0.9778	209	0.2577	631	0.7957	14	0.01765	148	0.1866	0	0.	2	0.002466	6	0.007398	134	102	0.7612	14	0.1045	5	0.03731	13	0.09701	1	1	1.	0	0.	0	0.	0	0.	0	0.	 
JRuby	1016	958	0.9429	311	0.3061	901	0.9405	6	0.006263	51	0.05324	24	0.02362	0	0.	21	0.02067	359	143	0.3983	42	0.1170	106	0.2953	68	0.1894	29	5	0.1724	21	0.7241	1	0.03448	2	0.06897	0	0.	 
JSPWiki-2.8	171	149	0.8713	59	0.3450	70	0.4698	6	0.04027	73	0.4899	1	0.005848	0	0.	16	0.09357	94	45	0.4787	7	0.07447	31	0.3298	11	0.1170	6	6	1.	0	0.	0	0.	0	0.	0	0.	 
jsXe-04_beta	37	36	0.9730	19	0.5135	34	0.9444	0	0.	2	0.05556	0	0.	1	0.02703	0	0.	13	11	0.8462	2	0.1538	0	0.	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
jtopen-7.1	806	621	0.7705	195	0.2419	470	0.7568	26	0.04187	125	0.2013	161	0.1998	0	0.	18	0.02233	304	183	0.6020	57	0.1875	4	0.01316	60	0.1974	13	12	0.9231	1	0.07692	0	0.	0	0.	0	0.	 
jung-2.0.1	161	147	0.9130	28	0.1739	97	0.6599	12	0.08163	38	0.2585	5	0.03106	0	0.	0	0.	183	104	0.5683	17	0.09290	42	0.2295	20	0.1093	18	11	0.6111	5	0.2778	1	0.05556	0	0.	1	0.05556	 
junit-4.10	60	41	0.6833	27	0.45	30	0.7317	2	0.04878	9	0.2195	5	0.08333	2	0.03333	2	0.03333	27	12	0.4444	2	0.07407	6	0.2222	7	0.2593	0	0	0	0	0	0	0	0	0	0	0	 
log4j-2.0-beta	154	134	0.8701	45	0.2922	98	0.7313	5	0.03731	31	0.2313	3	0.01948	0	0.	4	0.02597	103	73	0.7087	1	0.009709	11	0.1068	18	0.1748	10	5	0.5	0	0.	0	0.	0	0.	5	0.5	 
lucene-4.2.0	2915	2530	0.8679	654	0.2244	1611	0.6368	114	0.04506	805	0.3182	57	0.01955	87	0.02985	112	0.03842	341	209	0.6129	14	0.04106	15	0.04399	103	0.3021	44	32	0.7273	2	0.04545	7	0.1591	0	0.	3	0.06818	 
marauroa-3.8.1	71	69	0.9718	7	0.09859	53	0.7681	4	0.05797	12	0.1739	0	0.	1	0.01408	1	0.01408	31	25	0.8065	0	0.	1	0.03226	5	0.1613	0	0	0	0	0	0	0	0	0	0	0	 
maven-3.0.5	94	55	0.5851	30	0.3191	25	0.4545	4	0.07273	26	0.4727	1	0.01064	0	0.	29	0.3085	219	119	0.5434	1	0.004566	15	0.06849	84	0.3836	11	5	0.4545	3	0.2727	0	0.	0	0.	3	0.2727	 
megamek-0.35.18	1264	1248	0.9873	140	0.1108	1185	0.9495	19	0.01522	44	0.03526	12	0.009494	0	0.	0	0.	182	145	0.7967	12	0.06593	11	0.06044	14	0.07692	10	6	0.6	4	0.4	0	0.	0	0.	0	0.	 
mvnforum-1.2.2-ga	107	94	0.8785	47	0.4393	73	0.7766	6	0.06383	15	0.1596	2	0.01869	0	0.	10	0.09346	287	152	0.5296	46	0.1603	9	0.03136	80	0.2787	2	1	0.5	1	0.5	0	0.	0	0.	0	0.	 
myfaces_core-2.1.10_src-myfaces-api-2.1.10-sources	167	107	0.6407	24	0.1437	79	0.7383	1	0.009346	27	0.2523	17	0.1018	11	0.06587	23	0.1377	299	17	0.05686	19	0.06355	17	0.05686	246	0.8227	25	12	0.48	2	0.08	0	0.	1	0.04	10	0.4	 
 
myfaces_core-2.1.10_src-myfaces-impl-2.1.10-sources	253	193	0.7628	42	0.1660	137	0.7098	9	0.04663	47	0.2435	1	0.003953	5	0.01976	22	0.08696	86	41	0.4767	18	0.2093	2	0.02326	25	0.2907	6	4	0.6667	1	0.1667	0	0.	0	0.	1	0.1667	 
myfaces_core-2.1.10_src-myfaces-impl-shared-2.1.10-sources	39	36	0.9231	7	0.1795	9	0.25	3	0.08333	24	0.6667	0	0.	0	0.	1	0.02564	4	3	0.75	0	0.	0	0.	1	0.25	0	0	0	0	0	0	0	0	0	0	0	 
nakedobjects-4.0.0	1416	1054	0.7444	264	0.1864	702	0.6660	97	0.09203	255	0.2419	163	0.1151	18	0.01271	88	0.06215	785	455	0.5796	40	0.05096	139	0.1771	151	0.1924	349	185	0.5301	64	0.1834	3	0.008596	24	0.06877	73	0.2092	 
nekohtml-1.9.14	13	10	0.7692	2	0.1538	4	0.4	0	0.	6	0.6	0	0.	0	0.	1	0.07692	9	7	0.7778	1	0.1111	0	0.	1	0.1111	0	0	0	0	0	0	0	0	0	0	0	 
openjms-0.7.7-beta-1	231	154	0.6667	74	0.3203	139	0.9026	8	0.05195	7	0.04545	26	0.1126	0	0.	9	0.03896	138	96	0.6957	14	0.1014	6	0.04348	22	0.1594	9	6	0.6667	2	0.2222	0	0.	0	0.	1	0.1111	 
oscache-2.3	27	23	0.8519	15	0.5556	14	0.6087	5	0.2174	4	0.1739	2	0.07407	0	0.	0	0.	10	9	0.9	0	0.	0	0.	1	0.1	4	4	1.	0	0.	0	0.	0	0.	0	0.	 
picocontainer-2.10.2	92	74	0.8043	18	0.1957	60	0.8108	1	0.01351	13	0.1757	7	0.07609	0	0.	4	0.04348	82	55	0.6707	2	0.02439	21	0.2561	4	0.04878	9	9	1.	0	0.	0	0.	0	0.	0	0.	 
pmd-4.2.x	474	420	0.8861	53	0.1118	320	0.7619	1	0.002381	99	0.2357	17	0.03586	4	0.008439	16	0.03376	101	68	0.6733	11	0.1089	10	0.09901	12	0.1188	3	2	0.6667	0	0.	0	0.	1	0.3333	0	0.	 
poi-3.6	755	659	0.8728	320	0.4238	589	0.8938	25	0.03794	45	0.06829	7	0.009272	47	0.06225	15	0.01987	279	176	0.6308	32	0.1147	17	0.06093	54	0.1935	30	14	0.4667	1	0.03333	1	0.03333	1	0.03333	13	0.4333	 
pooka-3.0-080505	108	101	0.9352	40	0.3704	81	0.8020	7	0.06931	13	0.1287	1	0.009259	0	0.	6	0.05556	99	70	0.7071	7	0.07071	3	0.03030	19	0.1919	13	4	0.3077	5	0.3846	0	0.	0	0.	4	0.3077	 
proguard-4.9	310	140	0.4516	202	0.6516	136	0.9714	1	0.007143	3	0.02143	1	0.003226	0	0.	34	0.1097	644	554	0.8602	0	0.	89	0.1382	1	0.001553	4	4	1.	0	0.	0	0.	0	0.	0	0.	 
quickserver-1.4.7	20	13	0.65	3	0.15	10	0.7692	0	0.	3	0.2308	0	0.	0	0.	6	0.3	59	24	0.4068	5	0.08475	17	0.2881	13	0.2203	0	0	0	0	0	0	0	0	0	0	0	 
quilt-0.6-a-5	20	18	0.9	5	0.25	13	0.7222	0	0.	5	0.2778	0	0.	0	0.	0	0.	34	9	0.2647	9	0.2647	0	0.	16	0.4706	0	0	0	0	0	0	0	0	0	0	0	 
rssowl-2.0.5	137	113	0.8248	28	0.2044	67	0.5929	8	0.07080	38	0.3363	1	0.007299	0	0.	3	0.02190	153	71	0.4641	4	0.02614	32	0.2092	46	0.3007	71	54	0.7606	6	0.08451	2	0.02817	0	0.	9	0.1268	 
sablecc-3.2	149	149	1.	19	0.1275	149	1.	0	0.	0	0.	0	0.	0	0.	0	0.	33	32	0.9697	0	0.	1	0.03030	0	0.	1	1	1.	0	0.	0	0.	0	0.	0	0.	 
springframework-3.0.5_projects-org.springframework.core	112	47	0.4196	23	0.2054	25	0.5319	7	0.1489	15	0.3191	8	0.07143	0	0.	46	0.4107	118	64	0.5424	13	0.1102	5	0.04237	36	0.3051	20	6	0.3	0	0.	5	0.25	0	0.	9	0.45	 
springframework-3.0.5_projects-org.springframework.jdbc	145	119	0.8207	57	0.3931	50	0.4202	24	0.2017	45	0.3782	1	0.006897	0	0.	3	0.02069	82	52	0.6341	1	0.01220	11	0.1341	18	0.2195	5	3	0.6	0	0.	0	0.	0	0.	2	0.4	 
squirrel	133	105	0.7895	29	0.2180	66	0.6286	10	0.09524	29	0.2762	0	0.	0	0.	7	0.05263	113	64	0.5664	9	0.07965	12	0.1062	28	0.2478	14	2	0.1429	5	0.3571	2	0.1429	0	0.	5	0.3571	 
struts-2.2.1	1035	772	0.7459	251	0.2425	367	0.4754	90	0.1166	315	0.4080	11	0.01063	1	0.0009662	93	0.08986	384	123	0.3203	105	0.2734	48	0.125	108	0.2813	21	9	0.4286	2	0.09524	5	0.2381	0	0.	5	0.2381	 
sunflow-0.07.2	16	14	0.875	10	0.625	11	0.7857	1	0.07143	2	0.1429	0	0.	0	0.	0	0.	110	106	0.9636	0	0.	4	0.03636	0	0.	8	6	0.75	2	0.25	0	0.	0	0.	0	0.	 
tapestry-5.1.0.5	377	248	0.6578	40	0.1061	90	0.3629	12	0.04839	146	0.5887	6	0.01592	13	0.03448	99	0.2626	543	367	0.6759	17	0.03131	85	0.1565	74	0.1363	65	42	0.6462	11	0.1692	1	0.01538	1	0.01538	10	0.1538	 
tomcat-7.0.2	636	568	0.8931	138	0.2170	438	0.7711	17	0.02993	113	0.1989	6	0.009434	2	0.003145	23	0.03616	344	248	0.7209	35	0.1017	25	0.07267	36	0.1047	43	27	0.6279	4	0.09302	0	0.	3	0.06977	9	0.2093	 
trove-2.1.0	14	14	1.	9	0.6429	10	0.7143	0	0.	4	0.2857	0	0.	0	0.	0	0.	22	18	0.8182	3	0.1364	1	0.04545	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
velocity1.6.4	101	93	0.9208	17	0.1683	75	0.8065	1	0.01075	17	0.1828	0	0.	0	0.	4	0.03960	66	29	0.4394	14	0.2121	8	0.1212	15	0.2273	11	10	0.9091	1	0.09091	0	0.	0	0.	0	0.	 
webmail-0.7.10	36	23	0.6389	8	0.2222	18	0.7826	1	0.04348	4	0.1739	1	0.02778	0	0.	8	0.2222	49	29	0.5918	3	0.06122	0	0.	17	0.3469	2	1	0.5	1	0.5	0	0.	0	0.	0	0.	 
weka-3-6-9	868	676	0.7788	458	0.5276	517	0.7648	22	0.03254	137	0.2027	31	0.03571	0	0.	4	0.004608	1247	143	0.1147	349	0.2799	209	0.1676	546	0.4379	9	3	0.3333	3	0.3333	1	0.1111	1	0.1111	1	0.1111	 
xalan-2.7.1	528	481	0.9110	199	0.3769	436	0.9064	5	0.01040	40	0.08316	3	0.005682	6	0.01136	4	0.007576	101	68	0.6733	11	0.1089	2	0.01980	20	0.1980	12	10	0.8333	1	0.08333	0	0.	0	0.	1	0.08333	 
xerces-2.10.0	364	329	0.9038	70	0.1923	281	0.8541	21	0.06383	27	0.08207	4	0.01099	0	0.	23	0.06319	257	182	0.7082	23	0.08949	13	0.05058	39	0.1518	85	54	0.6353	1	0.01176	22	0.2588	0	0.	8	0.09412	 
