[
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/gui/options/model/GPAbstractOption/myListeners|>,
  <<|java+class:///net/sourceforge/ganttproject/GanttProject|,|java+interface:///net/sourceforge/ganttproject/IGanttProject|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(2349,52,<65,29>,<65,81>)>,
  <<|java+class:///net/sourceforge/ganttproject/GanttProject|,|java+interface:///net/sourceforge/ganttproject/IGanttProject|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(2530,39,<68,12>,<68,51>)>,
  <<|java+class:///net/sourceforge/ganttproject/export/ConsoleUIFacade|,|java+interface:///net/sourceforge/ganttproject/gui/UIFacade|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(2530,39,<68,12>,<68,51>)>,
  <<|java+class:///net/sourceforge/ganttproject/export/ExporterToCSV|,|java+interface:///net/sourceforge/ganttproject/export/ExportFileWizardImpl/LegacyOptionsClient|>,205,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(2668,50,<70,17>,<70,67>)>,
  <<|java+class:///net/sourceforge/ganttproject/export/ExporterToCSV|,|java+interface:///net/sourceforge/ganttproject/export/Exporter|>,205,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(2668,50,<70,17>,<70,67>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/export/CommandLineExportApplication/export(java/util/Map)/$anonymous1|,|java+interface:///net/sourceforge/ganttproject/export/ExportFinalizationJob|>,202,|java+variable:///net/sourceforge/ganttproject/export/CommandLineExportApplication/export(java.util.Map)/scope(0)/scope(0)/scope(0)/finalizationJob|>,
  <<|java+class:///java/lang/Exception|,|java+class:///java/lang/Throwable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3070,28,<80,16>,<80,44>)>,
  <<|java+interface:///java/util/Map/Entry|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3391,24,<90,34>,<90,58>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3443,27,<91,26>,<91,53>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3488,22,<92,16>,<92,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3563,14,<93,49>,<93,63>)>,
  <<|java+interface:///java/util/Collection|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3550,27,<93,36>,<93,63>)>,
  <<|java+interface:///net/sourceforge/ganttproject/export/Exporter|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(3603,31,<94,23>,<94,54>)>,
  <<|java+interface:///java/util/Set|,|java+interface:///java/util/Collection|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/export/CommandLineExportApplication.java|(1079,24,<34,15>,<34,39>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/parser/TaskPropertiesTagHandler.java|(848,28,<25,12>,<25,40>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/parser/TaskPropertiesTagHandler.java|(1209,38,<37,12>,<37,50>)>,
  <<|java+interface:///net/sourceforge/ganttproject/task/Task|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/action/task/LinkTasksAction.java|(940,25,<30,29>,<30,54>)>,
  <<|java+interface:///net/sourceforge/ganttproject/task/Task|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/action/task/LinkTasksAction.java|(995,23,<31,28>,<31,51>)>,
  <<|java+class:///org/ganttproject/impex/htmlpdf/fonts/FontTriplet|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/org.ganttproject.impex.htmlpdf/src/org/ganttproject/impex/htmlpdf/fonts/FontRecord.java|(1117,54,<47,15>,<47,69>)>,
  <<|java+class:///net/sourceforge/ganttproject/gui/ResourcesTableModel|,|java+interface:///javax/swing/table/TableModel|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(2536,34,<79,25>,<79,59>)>,
  <<|java+class:///org/jdesktop/swing/JXTable|,|java+class:///javax/swing/JTable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(2580,41,<80,8>,<80,49>)>,
  <<|java+class:///org/jdesktop/swing/JXTable|,|java+class:///javax/swing/JTable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(2652,45,<81,8>,<81,53>)>,
  <<|java+class:///org/jdesktop/swing/JXTable|,|java+class:///javax/swing/JTable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(2707,37,<82,8>,<82,45>)>,
  <<|java+class:///org/jdesktop/swing/JXTable|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(3380,31,<92,30>,<92,61>)>,
  <<|java+class:///javax/swing/border/EtchedBorder|,|java+interface:///javax/swing/border/Border|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(3585,137,<95,44>,<97,43>)>,
  <<|java+class:///javax/swing/border/TitledBorder|,|java+interface:///javax/swing/border/Border|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(3549,174,<95,8>,<97,44>)>,
  <<|java+class:///javax/swing/JScrollPane|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/taskproperties/TaskAllocationsPanel.java|(3733,50,<98,8>,<98,58>)>,
